hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.14,0.053,0.0,0.0,0.0
1,0.7,0.264,0.0,0.0,0.0
2,0.08,0.03,0.0,0.0,0.0
3,0.09,0.034,0.0,0.0,0.0
4,0.08,0.03,0.0,0.0,0.0
5,0.08,0.03,0.0,0.0,0.0
6,0.62,0.233,0.0,0.0,0.0
7,0.08,0.03,0.0,0.0,0.0
8,0.08,0.03,0.0,0.0,0.0
9,0.08,0.03,0.0,0.0,0.0
10,1.02,0.385,0.0,0.0,0.0
11,0.11,0.042,0.0,0.0,0.0
12,1.67,0.629,0.0,0.0,0.0
13,0.1,0.038,0.0,0.0,0.0
14,0.07,0.026,0.0,0.0,0.0
15,0.71,0.268,0.0,0.0,0.0
16,0.29,0.11,0.0,0.0,0.0
17,0.12,0.046,0.0,0.0,0.0
18,1.27,0.478,0.0,0.0,0.0
19,1.16,0.437,0.0,0.0,0.0
20,3.4,1.281,0.0,0.0,0.0
21,0.29,0.109,0.0,0.0,0.0
22,0.35,0.132,0.0,0.0,0.0
23,0.95,0.358,0.0,0.0,0.0
